Imiê i nazwisko,m^2 pow,Gaz,Pr¹d,Czynsz,Woda,Œmieci
Mi³osz Duras,181,6362,173,2176,8804,650
Anna Maria Teper,145,8321,3875,5888,6195,7223
pani Marianna Morys,105,4039,7,1847,1077,7265
Bruno Zacharczuk,44,6726,8748,3138,6335,4165
Ida Nogieæ,68,1533,3897,5411,5105,5092
Fabian Ulfik,174,5530,9283,2564,8863,2270
Aurelia Bodych,104,3012,4304,7341,6664,2282
Ida Olchawa,138,3968,7382,3934,849,8139
Stanis³aw Zagozda,86,2348,8786,2934,4088,8287
pan Maurycy Jarczyk,55,2886,8920,2941,9811,4884
Konstanty Preuss,25,2395,9636,1872,8844,3150
Miko³aj St¹por,110,8087,8680,530,3743,6546
Tadeusz Geisler,53,6591,6640,1252,408,1627
Witold Kubieniec,89,5398,4391,5151,1872,8267
pani Janina Michalkiewicz,187,8489,6745,4698,3636,2437
Dawid Pielech,3,8205,687,652,3949,514
pan Emil Lejk,32,4993,5069,5716,7085,6164
pani Angelika JaŸwiec,150,3171,9340,4361,9074,1338
Aurelia Nabia³ek,85,8656,9302,2812,3885,6009
Janina Cymer,158,5523,7954,2246,9705,4942
pan Eryk Opalach,33,9525,6806,5250,9951,8515
Leon Konsek,183,136,2920,6175,2321,3263
Wojciech Zemanek,68,6243,7440,7406,3282,7539
Anastazja Piestrzeniewicz,76,3943,7362,7214,8253,4095
pan Alex Jamroz,172,6545,448,316,9620,3330
Dagmara Sajnóg,60,7259,2890,7865,6907,1814
pan Krzysztof Margol,78,8434,8482,5014,273,3797
Tymon Balawender,35,2939,7210,8679,9136,7609
Bruno Mêtel,194,5611,4166,5549,7532,3323
pani Agnieszka Kramer,84,7281,6126,5793,1611,8672
Fryderyk Sobi³o,180,6460,1184,9162,3444,8196
Mateusz Krzy¿ostaniak,67,6782,3679,1815,6574,4890
pani Sandra Bazyluk,98,9265,1248,9854,6277,8364
Ernest Ludwisiak,121,8786,9796,9404,5767,4780
pani Anita Gwardiak,155,5530,6931,2118,1332,1910
Andrzej Czupryn,137,9781,4477,2380,2250,7134
Krzysztof Radziewicz,13,2108,6390,7637,8726,5161
Szymon Jeszke,163,9530,669,3378,1551,2082
Ewelina Œwierkot,51,3589,8992,204,9445,2586
Gabriel Kiepura,44,3481,9034,8346,7382,1705
pani Sara Wasiewicz,74,6452,45,7297,5889,6993
pan Norbert Domian,145,3606,5517,6190,1149,215
Aleks Wyrwa³,186,2836,5737,3407,1769,9943
Cezary Job,103,9612,7379,1451,7999,2894
£ukasz Suchta,27,8144,8422,1615,5941,3011
Sara Juœkiewicz,150,4647,4158,7527,7893,9864
Andrzej T³uczek,179,6684,4165,5335,2848,6187
pani Klara Bracha,158,6966,8291,3979,5038,1360
pani Olga Pu³ka,117,285,5690,8308,4118,592
Maciej Tymczyszyn,87,404,3978,538,3119,1337
